Timestamp,activo,genero,edad,area_arqueologia,fuente_ingresos,tiempo_experiencia,formacion_academica,salario,departamento,factor_ingreso,cargo,sector_mercado,estabilidad_ingreso,dias_campo,personas_cargo,tecnologia,problema_laboral,valor_posgrado,area_posgrado,percepcion_remuneracion,solucion_profesion,"22.  Si pudieras decidir de nuevo, ¿volverías a elegir arqueología en Colombia como profesión? Califica de 1 a 5

1. No
2. Probablemente no
3. Quizás...Tal vez
4. Probablemente si
5. Claro ¡Me encanta!",Comentarios y sugerencias que nos quieras hacer o compartir. Puedes dejarnos reflexiones y anécdotas sobre tu vida profesional. Queremos escucharte,area_posgrado_original,volveria_elegir,id_respuesta,tipo_lugar
6/1/2026 19:40:11,"Si, es mi profesión principal",Hombre,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Contratista - prestación de servicios, Trabajador independiente, Consultoria, Emprendimientos propios - empresa propia",7 a 10 años,Pregrado,De 4 millones a 5 millones,Cauca,Tener RNA,Director o lider de proyecto,Empresario o emprendedor,Variables. Dependen de contratos,De 1 a 5 días,De 1 a 3 personas,"Excel, Word, QGis, Software de creación 3D: Blender, Agisfot Metashape, SketchUp, etc, AutoCAD, Redes sociales: WhatsApp, Telegram, etc",Bajos salarios,NA,No tengo posgrado,Mucho menor a la que debería ganar,Mayor estabilidad laboral,5,NA,No tengo posgrado,5,1,Departamento
6/1/2026 19:43:15,"No actualmente, pero lo he hecho antes",Hombre,20 años - 25 años,"Arqueología académica o básica: docencia, investigación, editoriales, museos, semilleros, proyectos academicos, universidades",Trabajador independiente,Entre 1 a 3 años,Pregrado,Menos de 2 millones de pesos,Cundinamarca,Manejo de SIG,Arqueologo,Semillerista de investigacion,Ocasionales o esporadicos,Más de 15 días,Ninguna,"Excel, Word, QGis, Redes sociales: WhatsApp, Telegram, etc, Inteligencia Artificial",Desconexion entre formacion y oportunidades,NA,No tengo posgrado,Mucho menor a la que debería ganar,Más oportunidades de empleo,4,NA,No tengo posgrado,4,2,Departamento
6/1/2026 19:45:03,"Si, es mi profesión principal",Hombre,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Empleado directo de tiempo completo, Consultoria",7 a 10 años,Pregrado,De 5 millones a 6 millones,Meta,Años de experiencia,Arqueologo,Consultoria ambiental o estudios de impacto,Muy estables,Más de 15 días,De 1 a 3 personas,"Excel, Word, QGis, ArcGis, Google Maps, Redes sociales: WhatsApp, Telegram, etc, BASECAMP",Falta de estabilidad laboral,NA,No tengo posgrado,Aproximadamente lo que debería ganar,Mayor estabilidad laboral,5,NA,No tengo posgrado,5,3,Departamento
6/1/2026 19:45:06,"Si, es mi profesión principal",Mujer,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,11 y 15 años,Pregrado,De 3 millones a 4 millones,Antioquia,Ninguno,Arqueologo,Obras civiles y construccion,Muy estables,Más de 15 días,Ninguna,"Excel, Word, Google Maps",Bajos salarios,NA,No tengo posgrado,Mucho menor a la que debería ganar,Mejores salarios,2,NA,No tengo posgrado,2,4,Departamento
6/1/2026 19:46:45,"Si, es mi profesión principal",Mujer,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,Entre 1 a 3 años,Estudiante de pregrado,De 2 millones a 2.5 millones,Antioquia,Años de experiencia,Auxiliar de arqueologia,Obras civiles y construccion,Variables. Dependen de contratos,Más de 15 días,De 1 a 3 personas,"Excel, Word",Bajos salarios,NA,No tengo posgrado,Aproximadamente lo que debería ganar,Mayor estabilidad laboral,5,NA,No tengo posgrado,5,5,Departamento
6/1/2026 19:47:51,"Si, es mi profesión principal",Mujer,26 años - 30 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,7 a 10 años,Pregrado,De 4 millones a 5 millones,Putumayo,Red de contactos,Arqueologo,Obras civiles y construccion,Muy estables,Más de 15 días,De 1 a 3 personas,Excel,Falta de estabilidad laboral,NA,No tengo posgrado,Mucho menor a la que debería ganar,Más oportunidades de empleo,1,NA,No tengo posgrado,1,6,Departamento
6/1/2026 19:48:53,"Si, ocasionalmente",Mujer,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Contratista - prestación de servicios, Museos y conservación. Gestor cultural",7 a 10 años,Pregrado,De 2 millones a 2.5 millones,Bogota D.C.,Red de contactos,Arqueologo,Obras civiles y construccion,Ocasionales o esporadicos,11 a 15 días,De 4 a 10 personas,"Excel, Word, QGis, Google Maps",Desconexion entre formacion y oportunidades,NA,No tengo posgrado,Mucho menor a la que debería ganar,Mayor estabilidad laboral,2,NA,No tengo posgrado,2,7,Departamento
6/1/2026 19:48:58,"Si, es mi profesión principal",Hombre,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,Entre 1 a 3 años,Pregrado,De 3 millones a 4 millones,Meta,Ubicacion geografica,Auxiliar de arqueologia,Oil and Gas,Muy estables,Más de 15 días,Ninguna,"Excel, Word, QGis, ArcGis, AutoCAD, Google Maps",Bajos salarios,NA,No tengo posgrado,Algo menor de lo que debería ganar,Mejores salarios,4,NA,No tengo posgrado,4,8,Departamento
6/1/2026 19:50:16,"Si, es mi profesión principal",Mujer,20 años - 25 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Empleado directo de tiempo completo, Contratista - prestación de servicios",Menos de 1 año,Pregrado,Menos de 2 millones de pesos,Bogota D.C.,Ninguno,Auxiliar de arqueologia,Laboratorios,Variables. Dependen de contratos,No realizo trabajo de campo,Ninguna,"Excel, Word",Falta de claridad en tarifas,NA,No tengo posgrado,Algo menor de lo que debería ganar,Mejor reconocimiento profesional,2,No hay garantías de mejoras de salario ni con experiencia ni con posgrados,No tengo posgrado,2,9,Departamento
6/1/2026 19:50:50,"Si, es mi profesión principal",Mujer,26 años - 30 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Contratista - prestación de servicios,4 a 6 años,Pregrado,De 2.5 millones a 3 millones,La Guajira,Tener RNA,Arqueologo,Obras civiles y construccion,Variables. Dependen de contratos,Más de 15 días,De 1 a 3 personas,"Excel, QGis",Exceso de informalidad,NA,No tengo posgrado,Mucho menor a la que debería ganar,Mejor claridad en los honorarios o sueldos,5,NA,No tengo posgrado,5,10,Departamento
