id_respuesta,departamento
1,Cauca
2,Cundinamarca
3,Meta
4,Antioquia
5,Antioquia
6,Putumayo
7,Bogota D.C.
8,Meta
9,Bogota D.C.
10,La Guajira
11,Bogota D.C.
12,Bogota D.C.
12,Magdalena
12,Meta
13,Bogota D.C.
14,Bogota D.C.
15,Bogota D.C.
16,Bolivar
17,Bogota D.C.
18,Bogota D.C.
19,Bogota D.C.
20,Santander
21,Atlantico
21,Bolivar
21,Cundinamarca
21,Meta
22,Bogota D.C.
23,Bogota D.C.
24,Bogota D.C.
25,Atlantico
26,Tolima
27,Caldas
27,Risaralda
27,Valle del Cauca
28,Bogota D.C.
29,Bolivar
29,La Guajira
29,Magdalena
29,Meta
29,Valle del Cauca
30,Bogota D.C.
31,Cesar
32,Boyaca
33,Bogota D.C.
33,Santander
34,Cesar
34,La Guajira
34,Magdalena
35,Atlantico
35,Sucre
36,Valle del Cauca
37,Atlantico
37,Casanare
37,Meta
37,Quindio
37,Valle del Cauca
38,Bogota D.C.
39,Meta
40,Meta
41,Bogota D.C.
41,Boyaca
42,Bogota D.C.
42,Boyaca
42,Cesar
42,Cundinamarca
42,Santander
42,Antioquia
43,Bogota D.C.
43,Atlantico
44,Bogota D.C.
44,Cundinamarca
45,Bogota D.C.
45,Antioquia
46,Bogota D.C.
46,Cundinamarca
46,Antioquia
47,Bogota D.C.
48,Bogota D.C.
49,Bogota D.C.
49,Boyaca
49,Cundinamarca
49,Santander
50,Bogota D.C.
51,Risaralda
52,Cesar
52,Huila
53,Antioquia
54,Bogota D.C.
54,Cundinamarca
55,Antioquia
56,Cesar
56,La Guajira
57,Cundinamarca
58,Cundinamarca
58,La Guajira
58,Valle del Cauca
59,Bogota D.C.
60,Atlantico
60,Bolivar
60,Casanare
60,Cesar
60,La Guajira
60,Magdalena
60,Norte de Santander
62,Bogota D.C.
63,Cauca
63,Antioquia
64,Cesar
65,Bolivar
65,Cesar
65,Magdalena
66,Boyaca
66,Caldas
66,Antioquia
67,Cundinamarca
68,Bogota D.C.
69,Caldas
69,Quindio
69,Risaralda
70,Bogota D.C.
70,Tolima
71,Bogota D.C.
72,Bogota D.C.
73,Tolima
74,Meta
74,Putumayo
75,Atlantico
75,Bolivar
75,Huila
75,Meta
76,Bogota D.C.
77,Caldas
77,Santander
78,Bogota D.C.
79,Bogota D.C.
79,Meta
80,Cundinamarca
81,Caldas
82,Valle del Cauca
83,Antioquia
84,Bogota D.C.
85,Bogota D.C.
86,Cesar
86,Cordoba
86,La Guajira
86,Magdalena
86,Tolima
87,Valle del Cauca
88,Huila
89,Bogota D.C.
90,Bogota D.C.
90,Cesar
91,Bogota D.C.
92,Bogota D.C.
92,Meta
92,Sucre
93,Risaralda
94,Cundinamarca
95,Magdalena
96,Santander
97,Bogota D.C.
98,Antioquia
99,Caldas
100,Santander
100,Antioquia
101,Bogota D.C.
101,Bolivar
102,Antioquia
103,Antioquia
104,Bogota D.C.
105,Bogota D.C.
106,Magdalena
107,Bogota D.C.
107,Atlantico
107,Bolivar
107,Boyaca
107,Cesar
108,Bogota D.C.
108,Atlantico
109,Amazonas
109,Tolima
110,Bogota D.C.
111,Atlantico
111,Antioquia
112,Bogota D.C.
113,Bogota D.C.
113,Caldas
114,Cundinamarca
115,Antioquia
115,Sucre
115,Tolima
115,Valle del Cauca
116,Bogota D.C.
116,Sucre
117,Cordoba
117,Tolima
118,Tolima
119,Tolima
119,Valle del Cauca
120,Bogota D.C.
120,Santander
121,Bogota D.C.
122,Bogota D.C.
123,Cauca
124,Magdalena
124,Narino
125,Bogota D.C.
126,Bogota D.C.
127,Bogota D.C.
127,Casanare
127,Tolima
128,Caldas
129,Bogota D.C.
130,Valle del Cauca
131,Bogota D.C.
131,Antioquia
132,Boyaca
133,Meta
134,Antioquia
135,Choco
135,Guaviare
136,Cauca
136,Narino
136,Valle del Cauca
137,Cauca
138,Boyaca
139,Bolivar
139,Cordoba
139,Sucre
140,Bogota D.C.
141,Bogota D.C.
142,Antioquia
142,Cesar
143,Magdalena
144,Atlantico
144,Valle del Cauca
145,Antioquia
146,Bogota D.C.
147,La Guajira
148,Putumayo
149,Bogota D.C.
150,Bogota D.C.
151,Bogota D.C.
152,Bogota D.C.
153,Meta
154,Bogota D.C.
155,Bogota D.C.
155,Bolivar
156,Caldas
157,Bogota D.C.
158,Atlantico
159,Bolivar
159,Cesar
159,Cordoba
159,Magdalena
160,Cundinamarca
161,Bogota D.C.
161,Meta
162,Bogota D.C.
163,Antioquia
164,Antioquia
165,Magdalena
166,Bogota D.C.
166,Antioquia
167,Bogota D.C.
167,Atlantico
167,Cundinamarca
167,Magdalena
168,Sucre
169,Santander
170,Atlantico
170,Cundinamarca
171,Bogota D.C.
171,Santander
172,Antioquia
173,Quindio
173,Risaralda
174,Santander
175,Bogota D.C.
176,Antioquia
176,Caldas
176,Cundinamarca
176,Meta
177,Bogota D.C.
177,Boyaca
177,Cundinamarca
178,Bogota D.C.
178,Boyaca
178,Cundinamarca
179,Bogota D.C.
179,Atlantico
180,Antioquia
180,Atlantico
180,Caqueta
180,La Guajira
180,Sucre
181,Bogota D.C.
182,Bogota D.C.
182,Atlantico
182,Bolivar
182,Huila
182,Meta
183,Cesar
183,Magdalena
184,Atlantico
184,Cesar
185,Cundinamarca
