Timestamp,"1. Actualmente ¿trabajas en arqueología? 
",2. ¿Con que género te identificas?,3. ¿En qué rango de edad te encuentras?, 4. ¿En cuál de las siguientes áreas has desarrollado principalmente tu trabajo?  ,"5. Actualmente, ¿cómo obtienes tus ingresos relacionados con arqueología? Puedes seleccionar varias opciones",6 ¿Cuántos años tienes de experiencia en Arqueología?,"7. ¿Cuál es tu nivel de formación académica?
"," 8. ¿Cuál es tu ingreso mensual promedio relacionado con la arqueología?  Si tienes varias fuentes, un promedio general","9. ¿En qué departamento realizas la mayor parte de tu trabajo? Si tienes varios, elige los 2 más significativos. También aplica trabajo académico","10. En tu experiencia, ¿qué factor ha tenido mayor impacto en tus ingresos como arqueólog@?  Lo que mas te ha ayudado a subir tu salario considerablemente",11. ¿Cuál es actualmente tu cargo o rol en arqueología?,"  12. ¿En qué tipo de proyecto o empresa trabajas principalmente?  Si tienes varios, elige el más importante",13.Tus ingresos en arqueología son...,"14. En un mes típico, ¿cuántos días realizas trabajo de campo?",15. ¿Cuántas personas tienes a cargo dentro de tu proyecto o empleo?,16. ¿Cuáles de herramientas tecnológicas utilizas más para tus trabajos en arqueología? Elige todas las que sepas manejar,"17. ¿En que grado, consideras tú que es el mayor problema del mercado laboral de la Arqueología en Colombia? Elige el que consideras más relevante",18. ¿Valió la pena para ti hacer posgrado en arqueología? A nivel de salario y desarrollo profesional,"19. ¿En qué área está tu posgrado? Especialización, maestría o doctorado. Elige solo una","20. Según tu experiencia y lo que notas, ¿crees que tu remuneración actual es..?","21. Si pudieras cambiar una sola cosa para mejorar la profesión de los arqueólogos en Colombia, ¿cuál sería?","22.  Si pudieras decidir de nuevo, ¿volverías a elegir arqueología en Colombia como profesión? Califica de 1 a 5

1. No
2. Probablemente no
3. Quizás...Tal vez
4. Probablemente si
5. Claro ¡Me encanta!",Comentarios y sugerencias que nos quieras hacer o compartir. Puedes dejarnos reflexiones y anécdotas sobre tu vida profesional. Queremos escucharte
6/1/2026 19:40:11,"Si, es mi profesión principal",Hombre,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Contratista - prestación de servicios, Trabajador independiente, Consultoria, Emprendimientos propios - empresa propia",7 a 10 años,Pregrado,De 4 millones a 5 millones,Cauca,Tener RNA,Director o lider de proyecto,"Soy empresario, emprendedor",Variables. Depende de contratos,De 1 a 5 días,De 1 a 3 personas,"Excel, Word, QGis, Software de creación 3D: Blender, Agisfot Metashape, SketchUp, etc, AutoCAD, Redes sociales: WhatsApp, Telegram, etc",Bajos salarios,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Mucho menor a la que debería ganar,Mayor estabilidad laboral,5,
6/1/2026 19:43:15,"No actualmente, pero lo he hecho antes",Hombre,20 años - 25 años,"Arqueología académica o básica: docencia, investigación, editoriales, museos, semilleros, proyectos academicos, universidades",Trabajador independiente,Entre 1 a 3 años,Pregrado,Menos de 2 millones de pesos,Cundinamarca,Manejar SIG,Arqueólogo,Semillerista de investigación - Universidad,Ocasionales o esporádicos,Más de 15 días,Ninguna,"Excel, Word, QGis, Redes sociales: WhatsApp, Telegram, etc, Inteligencia Artificial",Falta de relación entre formación y oportunidades laborales,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Mucho menor a la que debería ganar,Más oportunidades de empleo,4,
6/1/2026 19:45:03,"Si, es mi profesión principal",Hombre,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Empleado directo de tiempo completo, Consultoria",7 a 10 años,Pregrado,De 5 millones a 6 millones,Meta,Años de experiencia,Arqueólogo,Consultoría ambiental o estudios de impacto,Muy estables. Cuento siempre con un salario fijo,Más de 15 días,De 1 a 3 personas,"Excel, Word, QGis, ArcGis, Google Maps, Redes sociales: WhatsApp, Telegram, etc, BASECAMP",Falta de estabilidad laboral,Considero que el posgrado no es relevante,No tengo posgrado,Aproximadamente lo que debería ganar,Mayor estabilidad laboral,5,
6/1/2026 19:45:06,"Si, es mi profesión principal",Mujer,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,11 y 15 años,Pregrado,De 3 millones a 4 millones,Antioquia,Nada ha ayudado a tener mejores ingresos,Arqueólogo,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Muy estables. Cuento siempre con un salario fijo,Más de 15 días,Ninguna,"Excel, Word, Google Maps",Bajos salarios,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Mucho menor a la que debería ganar,Mejores salarios,2,
6/1/2026 19:46:45,"Si, es mi profesión principal",Mujer,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,Entre 1 a 3 años,Estudiante de pregrado,De 2 millones a 2.5 millones,Antioquia ,Años de experiencia,Auxiliar de arqueología,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Variables. Depende de contratos,Más de 15 días,De 1 a 3 personas,"Excel, Word",Bajos salarios,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Aproximadamente lo que debería ganar,Mayor estabilidad laboral,5,
6/1/2026 19:47:51,"Si, es mi profesión principal",Mujer,26 años - 30 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,7 a 10 años,Pregrado,De 4 millones a 5 millones,Putumayo,Tus buenos contactos y tu red profesional,Arqueólogo,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Muy estables. Cuento siempre con un salario fijo,Más de 15 días,De 1 a 3 personas,Excel,Falta de estabilidad laboral,Considero que el posgrado no es relevante,No tengo posgrado,Mucho menor a la que debería ganar,Más oportunidades de empleo,1,
6/1/2026 19:48:53,"Si, ocasionalmente",Mujer,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Contratista - prestación de servicios, Museos y conservación. Gestor cultural",7 a 10 años,Pregrado,De 2 millones a 2.5 millones,Bogotá D.C.,Tus buenos contactos y tu red profesional,Arqueólogo,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Ocasionales o esporádicos,11 a 15 días,De 4 a 10 personas,"Excel, Word, QGis, Google Maps",Falta de relación entre formación y oportunidades laborales,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Mucho menor a la que debería ganar,Mayor estabilidad laboral,2,
6/1/2026 19:48:58,"Si, es mi profesión principal",Hombre,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,Entre 1 a 3 años,Pregrado,De 3 millones a 4 millones,Meta,Ubicacion geográfica,Auxiliar de arqueología,Empresas petroleras o de extracción de gas,Muy estables. Cuento siempre con un salario fijo,Más de 15 días,Ninguna,"Excel, Word, QGis, ArcGis, AutoCAD, Google Maps",Bajos salarios,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Algo menor de lo que debería ganar,Mejores salarios,4,
6/1/2026 19:50:16,"Si, es mi profesión principal",Mujer,20 años - 25 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Empleado directo de tiempo completo, Contratista - prestación de servicios",Menos de 1 año,Pregrado,Menos de 2 millones de pesos,Bogotá D.C.,Nada ha mejorado mis ingresos ,Auxiliar de arqueología,Trabajo en laboratorios,Variables. Depende de contratos,No realizo trabajo de campo,Ninguna,"Excel, Word",Falta de claridad en tarifas u honorarios,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Algo menor de lo que debería ganar,Mejor reconocimiento profesional,2,No hay garantías de mejoras de salario ni con experiencia ni con posgrados 
6/1/2026 19:50:50,"Si, es mi profesión principal",Mujer,26 años - 30 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Contratista - prestación de servicios,4 a 6 años,Pregrado,De 2.5 millones a 3 millones,La Guajira,Tener RNA,Arqueólogo,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Variables. Depende de contratos,Más de 15 días,De 1 a 3 personas,"Excel, QGis",Exceso de informalidad,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Mucho menor a la que debería ganar,Mejor claridad en los honorarios o sueldos,5,
